Trait,Database,Pathway_ID,Pathway_Name,GeneRatio,BgRatio,Gene_Count,P_value,FDR,Q_value,FDR_Significant_0.05,N_Traits_FDR_Significant,Traits_FDR_Significant,Entrez_Gene_IDs
Arm FFM,GO Biological Process,GO:0061448,connective tissue development,18/294,290/18986,18,6.81244959577986e-07,0.0014785873876977,0.0012411118432894,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,EFEMP1/MSX1/PRKG2/GHR/PITX1/BMP6/ID4/UNCX/STC1/TRPS1/CCN3/ARID5B/SOX5/CRIP1/SMAD3/PKD1/FTO/GDF5
Arm FFM,GO Biological Process,GO:0035264,multicellular organism growth,13/294,158/18986,13,1.12600456013575e-06,0.0014785873876977,0.0012411118432894,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/GIGYF2/GHR/STC2/PLEC/PTCH1/ARID5B/PLEKHA1/SOCS2/FTO/TP53/GH1/GDF5
Arm FFM,GO Biological Process,GO:0051384,response to glucocorticoid,12/294,134/18986,12,1.19176844790256e-06,0.0014785873876977,0.0012411118432894,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,IL1RN/CPS1/REST/GHR/SLIT3/BMP6/BCKDHB/FOXO3/CALCR/STC1/PAPPA/FLT3
Arm FFM,GO Biological Process,GO:0045664,regulation of neuron differentiation,14/294,194/18986,14,2.09998533442421e-06,0.0019540363536817,0.0016401990717292,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,CASZ1/EIF4G1/ETV5/REST/BMP6/ID4/FOXO3/HEY2/RELN/DDX6/SOCS2/EDNRB/ZNF536/GDF5
Arm FFM,GO Biological Process,GO:0051216,cartilage development,14/294,209/18986,14,5.01660032810033e-06,0.0036453786575942,0.0030598953182328,True,3,Arm FFM;Trunk FFM;Whole-body FFM,EFEMP1/MSX1/PRKG2/GHR/PITX1/BMP6/UNCX/STC1/TRPS1/CCN3/SOX5/SMAD3/PKD1/GDF5
Arm FFM,GO Biological Process,GO:0035270,endocrine system development,11/294,138/18986,11,1.02668223901439e-05,0.004812743776061,0.0040397702218244,True,1,Arm FFM,PITX1/BMP6/BAK1/CDK6/ZNF800/LHX3/ARID5B/SMAD3/NF1/INSR/GIPR
Arm FFM,GO Biological Process,GO:0032332,positive regulation of chondrocyte differentiation,5/294,20/18986,5,1.10255615616404e-05,0.004812743776061,0.0040397702218244,True,3,Arm FFM;Leg FFM;Whole-body FFM,PRKG2/BMP6/SOX5/SMAD3/GDF5
Arm FFM,GO Biological Process,GO:0042063,gliogenesis,18/294,355/18986,18,1.16374782333555e-05,0.004812743776061,0.0040397702218244,True,3,Arm FFM;Leg FFM;Whole-body FFM,MTOR/TGFB2/PPP3R1/ETV5/VCAN/ID4/ADGRG6/CDK6/RELN/PLEC/PARD3/PTPRJ/ANO1/METTL3/ACAN/ATP1B2/TP53/NF1
Arm FFM,GO Biological Process,GO:1902893,regulation of miRNA transcription,8/294,76/18986,8,2.27601926962466e-05,0.0071754387369825,0.0060229933457858,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,TGFB2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0061614,miRNA transcription,8/294,77/18986,8,2.50619837669998e-05,0.0071754387369825,0.0060229933457858,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,TGFB2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0010586,miRNA metabolic process,9/294,110/18986,9,5.36178429243813e-05,0.0142546865260391,0.0119652449473356,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,TGFB2/DIS3L2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0040014,regulation of multicellular organism growth,7/294,65/18986,7,6.41996407531363e-05,0.0158677432533999,0.0133192290438335,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,GHR/STC2/PTCH1/SOCS2/FTO/GH1/GDF5
Arm FFM,GO Biological Process,GO:0022011,myelination in peripheral nervous system,5/294,29/18986,5,7.53380921044053e-05,0.0158677432533999,0.0133192290438335,True,1,Arm FFM,PPP3R1/ADGRG6/PLEC/PARD3/NF1
Arm FFM,GO Biological Process,GO:0032292,peripheral nervous system axon ensheathment,5/294,29/18986,5,7.53380921044053e-05,0.0158677432533999,0.0133192290438335,True,2,Arm FFM;Trunk FFM,PPP3R1/ADGRG6/PLEC/PARD3/NF1
Arm FFM,GO Biological Process,GO:2000628,regulation of miRNA metabolic process,8/294,92/18986,8,9.07538523246205e-05,0.0164037701861826,0.0137691648272265,True,2,Arm FFM;Whole-body FFM,TGFB2/REST/FOXO3/ESR1/NCOR2/SMAD6/SMAD3/TP53
Arm FFM,GO Biological Process,GO:0071214,cellular response to abiotic stimulus,16/294,342/18986,16,9.25521692396119e-05,0.0164037701861826,0.0137691648272265,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/CAMKMT/REST/PIK3R1/BMP6/BAK1/PLEC/HABP4/CCND2/CRADD/METTL3/CRIP1/PIEZO1/TP53/KCNJ2/RPTOR
Arm FFM,GO Biological Process,GO:0104004,cellular response to environmental stimulus,16/294,342/18986,16,9.25521692396119e-05,0.0164037701861826,0.0137691648272265,True,4,Arm FFM;Leg FFM;Trunk FFM;Whole-body FFM,MTOR/CAMKMT/REST/PIK3R1/BMP6/BAK1/PLEC/HABP4/CCND2/CRADD/METTL3/CRIP1/PIEZO1/TP53/KCNJ2/RPTOR
Arm FFM,GO Biological Process,GO:0071692,protein localization to extracellular region,17/294,382/18986,17,0.0001032195178636,0.0174628657040288,0.0146581592832256,True,3,Arm FFM;Leg FFM;Trunk FFM,TGFB2/LTBP1/IL1RN/ACVR2B/COPG1/CWH43/REST/BMP6/TFAP2B/OPRM1/CCN3/DNAJC1/ANO1/EDNRB/FBN1/MC4R/GIPR
Arm FFM,GO Biological Process,GO:0022602,ovulation cycle process,6/294,50/18986,6,0.0001174360130222,0.0178794633024939,0.0150078472473209,True,1,Arm FFM,TGFB2/GPR149/SLIT3/FOXO3/ESR1/PLEKHA1
Arm FFM,GO Biological Process,GO:0035107,appendage morphogenesis,10/294,151/18986,10,0.0001248968419841,0.0178794633024939,0.0150078472473209,True,2,Arm FFM;Trunk FFM,ECE1/TGFB2/MBNL1/MSX1/PITX1/BAK1/TFAP2B/GNA12/PTCH1/GDF5
Arm FFM,GO Biological Process,GO:0035108,limb morphogenesis,10/294,151/18986,10,0.0001248968419841,0.0178794633024939,0.0150078472473209,True,2,Arm FFM;Trunk FFM,ECE1/TGFB2/MBNL1/MSX1/PITX1/BAK1/TFAP2B/GNA12/PTCH1/GDF5
Arm FFM,GO Biological Process,GO:0001952,regulation of cell-matrix adhesion,9/294,125/18986,9,0.0001443089468527,0.0182878690251264,0.0153506590306782,True,2,Arm FFM;Whole-body FFM,MACF1/CLASP2/PIK3R1/PKHD1/CDK6/PTPRJ/SMAD3/NF1/SKAP1
